Month,RowID,Response ID,"Overall, how satisfied are you with your experience living on campus at SDSU in the last 30 days?",Please explain why you are not satisfied with your experience living on campus at SDSU:,Front Desk,Wepa Printing Kiosk,Laundry Facilities,"Outdoor Recreation Facilities (pool, patio, fire pit, etc.)",The UPS Store,Streeme TV or Cable,WiFi,Residential Bike Storage and Bike Racks,Surfboard Storage,Community Study Areas,Community Kitchens,Vending Machines,Have you utilized a STAR Center in the last 30 days?,Please explain why you are not using the Star Center:,"Cleanliness of your residential community common areas (bathrooms, laundry rooms, hallways, lounges)","Maintenance of your residential community (furniture, utilities, appliances)","Amenities of your residential community (i.e., wifi, lounges, furniture, laundry, outdoor recreational spaces)","Please explain why you are unsatisfied with the Cleanliness, Maintenance, or Amenities of your residential community:",Within your residential community,Overall on campus,"Off campus, but within 1 mile of the university",Please tell us how the safety conditions on campus can be improved:,Have you submitted a service request in the last 30 days?,Please select the reason for why you have not submitted a service request in the last 30 days: - Selected Choice,"Other, please specify Text for why you have not submitted a service request in the last 30 days","To what degree do you agree or disagree with the following statement? I consider the responsibility of keeping the communal areas (bathrooms, laundry rooms, hallways, lounge) tidy as a shared responsibility amongst residents.",How many total people live in your suite or apartment unit?,"In the last 30 days, how would you describe your relationship with your roommate(s)? - Selected Choice","Other, please specify Text for how would you describe your relationship with your roommate(s) in last 30 days?",I initiate open communication and discussion,I seek advice from my parents or family,I use the Shared Living Agreement to guide discussion/conversation,I seek assistance from my student leader (RA or CA),I seek assistance from my residence hall coordinator (RHC),I have submitted a room switch request due to a roommate conflict,"I avoid conflict or confrontation, so I don't address the issue.",My roommate(s) and I do not have any conflicts,"You have indicated you have not reached out for support from your Residence Hall Coordinator (RHC) or student leader (RA or CA), please tell us why:","Feeling a sense of belonging within the university community (Sense of belonging is the feeling that we have satisfied our emotional need to belong to a community or group because we feel accepted, included, respected, and supported by a group)",Forming meaningful connections and friendships with other students within the university community,Feeling the university supports my personal and academic development,How can we improve your sense of belonging within the university community?,Attended a floor event or program,Participated in Hall/Community Council or an RHA event,Participated in an affinity group event,Why didn't you participate in activities or events in your residential community?,Attended a campus event,Participated in a campus club or organization,Participated in Greek life,Participated in undergraduate research,Participated in an internship on campus,Participated in an internship off campus,Worked a job on campus,Worked a job off campus,Participated in a religious or spiritual group,Participated in a volunteer or community service organization,Other for have you participated in the following extracurricular activities or events In the last 30 days?,"Other, please specify te for have you participated in the following extracurricular activities or events In the last 30 days?",Fellow students in my residential community,Student leaders (RA or CA),Residence Hall Coordinator (RHC),Coordinated Care Advisor (CCA),One-on-one meetings with professors or instructors,Major or program advisor,Classmates or fellow students in my program or courses,"Campus staff (administrative, support, or service staff)","Eat at an on campus eatery (Food trucks, restaurants, food court)",Prepared a meal on my own,Eat with friends,Eat alone,how confident are you that you can make healthy food choices?,"how confident are you in preparing a nutritious, healthy meal for yourself?","Have you reached out to Well-being & Health Promotion for nutritional resources? If not, why not?",How would you rate your mental health during the last 30 days?,"Have you reached out to SDSU Counseling and Psychological Services for mental health resources? If not, why not?",How would you rate your physical health during the last 30 days?,"Have you reached out to Student Health Services for physical health resources? If not, why not?","In the last 30 days, have you been physically ill (e.g., flu, cold, etc.)?",Did you receive a medical diagnosis for your illness?,Hall,State,Country,Residency,RLC_Updated,RLC_GroupCoded,Coded_RoomType,Coded_ClassLevel,Classification,Gender,Type of Building,AttendStatus
October,723,R_3JecySzyZ1vHRlG,Unsatisfied,The bathroom conditions are not ok.,Yes,Yes,No,Yes,No,Not Applicable,Yes,No,No,Yes,Yes,No,Yes,Did not answer,Unsatisfied,Neutral,Unsatisfied,"The showers are often flooded and gross, the sinks are clogged, and there is never any soap or paper towels.",Neutral,Neutral,Neutral,Did not answer,No,I do not know how to submit a service request.,Did not answer,Agree,"3, including myself","Neutral, I don't interact with my roommates, but we can coexist in the same space.",Did not answer,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,The situation isn't bad enough for that yet.,Agree,Agree,Neutral,Did not answer,Yes,No,No,I haven't been available to go when they typically take place.,Yes,Yes,No,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,Yes,No,Yes,Yes,No,Yes,No,More than 10 Times,1-5 Times,More than 10 Times,More than 10 Times,4,2,"No, I'm not sure how",Neutral,Did not answer,Poor,"No, I was sick but at home so it was fine","Yes, I got ill while living on campus in the last 30 days.",No,Tenochca,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Freshman,New,F,First Year,ATTENDING
October,81,R_1MSTermItWBjbKa,Neutral,Did not answer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not Applicable,No,Yes,Yes,Did not answer,Unsatisfied,Satisfied,Neutral,There is always hair in the showers and food/hair in the sinks. run out of paper towels frequently.,Safe,Safe,Safe,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Did not answer,Disagree,Agree,Agree,I just don't think I am compatible with the school itself.,Yes,No,No,Wasn't interested or didn't know about.,Yes,Yes,No,No,No,No,No,No,No,No,No,Did not answer,Yes,Yes,No,No,Yes,No,Yes,No,More than 10 Times,1-5 Times,6-10 Times,1-5 Times,4,2,"No, didn't know existed.",Good,Did not answer,Excellent,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Maya,CA,United States of America,California Resident,Visual Performing Arts,Residential Learning Communities,Triple,Freshman,New,F,First Year,NOT ENROLLED
October,274,R_eE5bHYsUEmZpyI9,Unsatisfied,roommate situation and room condition,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,just not interested,Neutral,Neutral,Neutral,Did not answer,Neutral,Safe,Neutral,Did not answer,Unsure,Did not answer,Did not answer,Agree,"2, including myself","Unsatisfied, most of us don't get along well, and we usually are not able to resolve conflicts.",Did not answer,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Did not answer,Neutral,Neutral,Neutral,Did not answer,No,No,Yes,just don't want to,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Did not answer,Yes,Yes,Yes,No,Yes,No,Yes,Yes,More than 10 Times,1-5 Times,1-5 Times,More than 10 Times,2,2,no.,Neutral,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Chapultepec,TX,United States of America,Out of State,Physical Fitness,Residential Learning Communities,Triple,Freshman,New,F,First Year,ATTENDING
October,710,R_10JBYB00qJ2VaPH,Satisfied,Did not answer,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Did not answer,Satisfied,Satisfied,Satisfied,Did not answer,Safe,Safe,Safe,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Agree,There have not been any issues,Agree,Agree,Agree,Did not answer,No,No,No,I wasn't available,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Not Applicable,Did not answer,Yes,Yes,No,No,No,Yes,Yes,No,More than 10 Times,1-5 Times,6-10 Times,1-5 Times,5,5,Did not answer,Neutral,Did not answer,Good,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Tenochca,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Freshman,New,M,First Year,ATTENDING
October,755,R_BDKRB79GvA9Gx69,Neutral,Did not answer,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,No,No,Yes,No,No,No,I have not had the necessity of using it yet.,Neutral,Neutral,Neutral,Did not answer,Safe,Neutral,Unsafe,Put more lighting around campus.,No,I did not have any maintenance needs.,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Neutral,Agree,Agree,Agree,Disagree,Neutral,Neutral,Did not answer,Neutral,Neutral,Neutral,Did not answer,No,No,No,I haven't had the time to do so.,No,No,No,No,No,No,No,No,No,No,No,Did not answer,Yes,Yes,No,No,No,No,Yes,Yes,More than 10 Times,0 Times,1-5 Times,6-10 Times,4,5,Did not answer,Good,Did not answer,Good,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Chapultepec,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Freshman,New,F,First Year,ATTENDING
October,176,R_xxP8RqsLrwZbRJf,Satisfied,Did not answer,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,"I don't have one in my building, and I haven't had a reason to go to one yet.",Satisfied,Satisfied,Satisfied,Did not answer,Safe,Safe,Neutral,Did not answer,Yes,Did not answer,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Did not answer,Agree,Agree,Agree,Did not answer,Yes,Yes,No,I did participate in activities in my residential community.,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Did not answer,Did not answer,Yes,Yes,No,No,Yes,Yes,Yes,Yes,More than 10 Times,6-10 Times,More than 10 Times,6-10 Times,4,4,Did not answer,Neutral,Did not answer,Neutral,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Huaxyacac,WA,United States of America,Out of State,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Sophomore,New,F,First Year,ATTENDING
October,609,R_2c5csoa2bsO1G5H,Satisfied,Did not answer,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,I‚m not sure what the star center is,Unsatisfied,Neutral,Neutral,People are disgusting and the bathrooms are always gross and laundry machines suck,Safe,Safe,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"2, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,haven't had issues,Agree,Agree,Agree,Did not answer,Yes,Yes,Yes,Did not answer,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Not Applicable,Did not answer,Yes,Yes,No,No,No,No,Yes,No,More than 10 Times,1-5 Times,More than 10 Times,More than 10 Times,4,4,Did not answer,Good,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Olmeca,AP,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Freshman,New,F,First Year,ATTENDING
October,112,R_3CPpVm34tOjhZfm,Unsatisfied,"The room is way too small for a triple. The housing is ridiculously expensive, the meal plan is expensive.",No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,I don't know what that is,Unsatisfied,Unsatisfied,Unsatisfied,"Trash everywhere, they don't clean anything they just throw away the trash the floor smells horrendous",Neutral,Neutral,Unsafe,Get rid of homeless people on campus,No,I do not know how to submit a service request.,Did not answer,Disagree,"3, including myself","Neutral, I don't interact with my roommates, but we can coexist in the same space.",Did not answer,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Neutral,I never see her,Neutral,Agree,Agree,Did not answer,No,No,No,There‚s nothing to partIciapte in,Yes,Yes,No,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,Yes,No,No,No,Yes,Yes,No,More than 10 Times,6-10 Times,6-10 Times,1-5 Times,5,4,Did not answer,Good,Did not answer,Did not answer,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Tenochca,CA,United States of America,California Resident,Physical Fitness,Residential Learning Communities,Triple,Freshman,New,F,First Year,NOT ENROLLED
October,422,R_10Oit5A4Tq8yjfQ,Satisfied,Did not answer,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,I don't know what or where it is.,Neutral,Satisfied,Satisfied,Did not answer,Safe,Safe,Safe,Did not answer,No,I did not have any maintenance needs.,Did not answer,Neither agree nor disagree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Haven't had the need,Agree,Neutral,Agree,Did not answer,Yes,No,No,Haven't been interested,No,No,No,No,No,No,No,No,No,No,No,Did not answer,Yes,Yes,No,No,No,No,Yes,No,More than 10 Times,1-5 Times,More than 10 Times,1-5 Times,4,3,Did not answer,Good,Did not answer,Excellent,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Zura,CA,United States of America,California Resident,Discover San Diego State,Residential Learning Communities,Triple,Freshman,New,M,First Year,ATTENDING
October,190,R_2qx77xgIQCs4L4Y,Satisfied,Did not answer,Did not answer,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,"I haven't had any reason to go yet, but will use it if it is something I need.",Satisfied,Satisfied,Neutral,Did not answer,Safe,Safe,Safe,Did not answer,Yes,Did not answer,Did not answer,Agree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,I haven't had any problems or reasons to reach out yet.,Agree,Neutral,Neutral,Did not answer,Yes,No,No,I went to some of the floor gatherings but didn't go to the official meeting thing to get involved will Hall Council.,Yes,Yes,No,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,Yes,No,No,Yes,No,Yes,No,More than 10 Times,6-10 Times,More than 10 Times,More than 10 Times,4,4,Did not answer,Good,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,University Towers,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Freshman,New,F,First Year,NOT ENROLLED
October,968,R_1LM8qlpcvmBNtiz,Neutral,Did not answer,Not Applicable,No,Yes,No,Yes,No,Yes,No,No,Not Applicable,Yes,No,No,I‚m unaware of what it is,Unsatisfied,Satisfied,Neutral,"I‚m unsatisfied with how unclean the shared kitchen area is. The counter tops and floor are always dirty since students aren‚t cleaning after themselves. They leave dirty dishes in the sink full of food and water. The laundry unit is disgusting. People forget socks or leave a mess with beads in the washer. Some of the washers don't work. And they‚re expensive for a wash while not even being cleaned or functional. The walk ways, patios, elevator, and trash shoot are clean. Other laundry units on campus are less expensive and we don't even have a refrigerator in our common kitchen area even though some of us only have half a mini fridge in our rooms. Other on campus shared kitchens have a least a standard refrigerator.",Safe,Safe,Safe,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"1, only me",Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Neutral,Agree,Neutral,Did not answer,Yes,No,No,Sometimes I have to prioritize my school work or I would forget. Other times I was unaware.,No,No,No,No,No,No,No,No,No,No,No,Did not answer,Yes,Yes,No,No,No,No,Yes,No,1-5 Times,1-5 Times,1-5 Times,1-5 Times,3,5,Did not answer,Poor,I have not because I wasn‚t sure how to but now I will save this link.,Neutral,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",Yes,Essential 3,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Single,Junior,Transfer,F,Sophomore and Upper Div,ATTENDING
October,391,R_26loIcj2dZ6ZCZV,Neutral,Did not answer,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,idk what that is,Unsatisfied,Unsatisfied,Satisfied,"mold in showers and sinks all the time, hallways never vacuumed, vomit in bathrooms is never cleaned properly, toilets and sinks leak water when not in use",Safe,Safe,Neutral,Did not answer,Yes,Did not answer,Did not answer,Agree,"3, including myself","Other, please specify",me and my roommate have been trying to handle issues with our third roommate and no one seems interested in helping us,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Did not answer,Agree,Agree,Disagree,Did not answer,No,No,No,Did not answer,No,No,Yes,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,Yes,Yes,Yes,No,No,Yes,No,More than 10 Times,0 Times,More than 10 Times,More than 10 Times,4,4,Did not answer,Poor,Did not answer,Neutral,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Huaxyacac,VA,United States of America,Out of State,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Freshman,New,F,First Year,NOT ENROLLED
October,334,R_1j8siHMqNAjV7vz,Satisfied,Did not answer,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,I‚m not sure what a Star Center is and how it could help me.,Satisfied,Satisfied,Neutral,Did not answer,Safe,Neutral,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"1, only me",Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Agree,Agree,Neutral,Did not answer,No,No,Yes,I was busy with other activities when those events were occurring.,Yes,Yes,No,No,No,No,No,No,No,Yes,Did not answer,Did not answer,Yes,Yes,No,Yes,No,Yes,Yes,Yes,More than 10 Times,1-5 Times,6-10 Times,More than 10 Times,4,3,Did not answer,Neutral,Did not answer,Excellent,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Zura,CA,United States of America,California Resident,Weber Honors College,Residential Learning Communities,Single,Sophomore,New,U,First Year,ATTENDING
October,49,R_wNqDAByRaITrFjH,Satisfied,Did not answer,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,I normally just study in my room or the floor lounge,Neutral,Satisfied,Satisfied,Did not answer,Safe,Neutral,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Did not answer,Agree,Agree,Agree,Did not answer,Yes,Yes,No,Im not apart of an affinity group on campus,Yes,Yes,No,No,No,No,No,No,No,No,Not Applicable,Did not answer,Yes,No,No,No,No,No,Yes,Yes,More than 10 Times,6-10 Times,More than 10 Times,6-10 Times,5,5,Did not answer,Excellent,Did not answer,Excellent,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Tenochca,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Freshman,New,F,First Year,ATTENDING
October,456,R_2tsBm0oJEmZ0Skc,Satisfied,Did not answer,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,"haven't needed it yet, I study in my room.",Satisfied,Satisfied,Neutral,Did not answer,Safe,Safe,Safe,Did not answer,Yes,Did not answer,Did not answer,Agree,"2, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Did not answer,Agree,Agree,Agree,Did not answer,Yes,Yes,No,I haven't had time to.,Yes,Yes,Yes,No,No,Not Applicable,No,Not Applicable,No,No,Not Applicable,Did not answer,Yes,Yes,No,No,No,No,Yes,Yes,More than 10 Times,1-5 Times,More than 10 Times,1-5 Times,5,5,Did not answer,Excellent,Did not answer,Excellent,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",Yes,Huaxyacac,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Freshman,New,F,First Year,ATTENDING
October,626,R_1Xhc4zpnaMKyKRz,Satisfied,Did not answer,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,I do not know what it is,Satisfied,Satisfied,Satisfied,Did not answer,Safe,Safe,Neutral,Did not answer,Yes,Did not answer,Did not answer,Agree,"2, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Did not answer,Agree,Agree,Agree,Did not answer,Yes,Yes,No,Unaware of all activities going on,No,Yes,No,No,No,No,No,No,Yes,No,Did not answer,Did not answer,Yes,Yes,No,No,No,No,Yes,No,More than 10 Times,6-10 Times,More than 10 Times,More than 10 Times,4,3,Did not answer,Good,Did not answer,Excellent,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Zura,CA,United States of America,California Resident,Weber Honors College,Residential Learning Communities,Triple,Freshman,New,M,First Year,ATTENDING
October,465,R_PulIXlP1UrEp1f3,Unsatisfied,"I was put into a very bad living/roommate situation for the first month living here. I transferred to University Towers and it has been better, but living on campus is just all around difficult.",Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,"I don't really know what it is, and I have been extremely busy during their hours of operation.",Neutral,Satisfied,Satisfied,Did not answer,Safe,Neutral,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Did not answer,Disagree,Neutral,Neutral,"It might just be personal, but I haven't found my group of people. The campus is so big so it can easily happen where you feel alone. I would advertise more about how to get involved.",Yes,No,No,"I just moved to a new building, so there hasn‚t been many activities since I have moved.",Yes,Yes,No,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,Yes,No,No,Yes,Yes,Yes,Yes,More than 10 Times,1-5 Times,6-10 Times,More than 10 Times,3,2,"No,  didn't know we had that.",Poor,"Yes, I attended 4 sessions but the counselor did not meet my needs.",Neutral,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,University Towers,CA,United States of America,California Resident,Substance Free,Thematic Living Communities,Double,Freshman,New,F,First Year,ATTENDING
October,140,R_3KTsIhpnxi1Piab,Neutral,Did not answer,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,I don't know what the Star Center is,Neutral,Satisfied,Satisfied,Did not answer,Safe,Safe,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"3, including myself","Other, please specify",I have a great relationship with one roommate but the other one is a little bit inconsiderate of us and never keeps her space organized.,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Did not answer,Agree,Agree,Agree,Did not answer,Yes,No,No,I was at the gym,Yes,Yes,No,No,No,No,No,No,No,No,No,Did not answer,Yes,Yes,No,No,Yes,Yes,Yes,Yes,More than 10 Times,6-10 Times,More than 10 Times,1-5 Times,3,3,Did not answer,Good,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Zura,NJ,United States of America,Out of State,Weber Honors College,Residential Learning Communities,Triple,Freshman,New,F,First Year,NOT ENROLLED
